序号    学号           情感词      文档编号            极性    所在上下文                                                                           置信度      
647     1140332052     配件        87.txt              pos     4元配件放油螺栓                                                                       0.67       
648     1140332052     空气        87.txt              pos     34元空气滤芯84                                                                        0.67       
649     1140332052     制动液      87.txt              pos     53空调滤芯102燃油滤芯97制动液2瓶169                                                   0.67       
650     1140332052     出水        94.txt              neg     有说是排气管有出水口漏的（v5没有出水口吧好像）也不能一次两边都出水吧                  0.67       
651     1140332052     消费者      96.txt              pos     建议运营企业向消费者发放替代手机或采取暂停收费                                        0.67       
652     1140332052     制热        96.txt              pos     空调存在问题：制热、制冷效果差                                                        0.67       
653     1140332052     在          88.txt              pos     价格大概在六百左右一个的那种                                                          0.66       
654     1140332052     买          11.txt              pos     加了导航和皮座椅如果北京便宜的多就去北京买了谢谢各位                                  0.65       
655     1140332052     轮胎        86.txt              pos     有好的轮胎做基础                                                                      0.64       
656     1140332052     这样        14.txt              pos     有专业技术人员做过这样的破坏性试验也没什么事                                          0.63       
657     1140332052     起步        1.txt               pos     一挡起步很平缓                                                                        0.62       
658     1140332052     踩          1.txt               pos     一踩就有                                                                              0.62       
659     1140332052     纠结        1.txt               pos     我又纠结了                                                                            0.62       
660     1140332052     维修        14.txt              pos     相对于cvt变速箱的维修应去专业的修理单位进行维修                                       0.62       
661     1140332052     车友        19.txt              pos     ps：请问别的车友有没有类似问题啊                                                      0.62       
662     1140332052     费用        21.txt              neg     但如果你算一年的费用                                                                  0.62       
663     1140332052     前          5.txt               pos     镀鉻前中网                                                                            0.62       
664     1140332052     影像        15.txt              pos     4万裸车开倒车影像                                                                     0.62       
665     1140332052     油门        12.txt              pos     感觉油门轻轻的                                                                        0.61       
666     1140332052     上          29.txt              pos     连水果机都比不上                                                                      0.61       
667     1140332052     反应        1.txt               pos     过会才有给油的反应                                                                    0.6        
668     1140332052     主要        100.txt             pos     以及主要配件（如硬盘                                                                  0.6        
669     1140332052     油耗        11.txt              pos     小8的油耗成了我的最大纠结网上说多少的都有                                             0.6        
670     1140332052     问题        13.txt              pos     请大侠帮我解决下问题                                                                  0.6        
671     1140332052     转速        14.txt              pos     可以全程保持在发动机扭力输出最高的转速                                                0.6        
672     1140332052     开          16.txt              pos     开的时候感觉开可以                                                                    0.6        
673     1140332052     出来        17.txt              neg     可是只开了3000公里毛病就出来了                                                        0.6        
674     1140332052     毛病        17.txt              neg     可是只开了3000公里毛病就出来了                                                        0.6        
675     1140332052     算          21.txt              pos     不算不知道                                                                            0.6        
676     1140332052     牌子        23.txt              pos     有朋友了解什么牌子的适合吗                                                            0.6        
677     1140332052     谈          31.txt              pos     因为一直谈着glk的价格                                                                 0.6        
678     1140332052     问          31.txt              pos     就随口问了这个车多少                                                                  0.6        
679     1140332052     见          38.txt              pos     发动机声音大这是常见了                                                                0.6        
680     1140332052     按钮        43.txt              pos     不喜欢原先的按钮                                                                      0.6        
681     1140332052     嘉年华      63.txt              pos     以前嘉年华赠的倒车影像是另一个品牌的                                                  0.6        
682     1140332052     销售        74.txt              pos     然后销售说现在我们的包牌价是72000                                                     0.6        
683     1140332052     卖          74.txt              pos     说从没有卖过这么低的价格                                                              0.6        
684     1140332052     机          76.txt              pos     单换方向机不行吗                                                                      0.6        
685     1140332052     出          85.txt              pos     但那个出风口只要是出冷气就直接打在窗上                                                0.6        
686     1140332052     去          14.txt              pos     在踩住制动踏板的同时再去操作变速杆                                                    0.59       
687     1140332052     怎么        31.txt              pos     奔驰c260怎么优惠那么多                                                                0.59       
688     1140332052     原因        12.txt              pos     不知道什么原因                                                                        0.58       
689     1140332052     月          17.txt              pos     问大家一些关于b50的问题我同事的b50等了两个月才提到车                                  0.58       
690     1140332052     钱          21.txt              pos     v3菱悦的用车成本会便宜小一百块钱（125-40=85元）                                       0.57       
691     1140332052     高手        30.txt              pos     有哪位高手知道什么原因吗                                                              0.57       
692     1140332052     个人        42.txt              pos     个人感觉98#油不适合我的手动锋范                                                       0.57       
693     1140332052     办法        85.txt              pos     有什么办法                                                                            0.57       
694     1140332052     方向        90.txt              pos     手要用力抓住方向                                                                      0.57       
695     1140332052     提车        16.txt              pos     终于提车了                                                                            0.56       
696     1140332052     时间        22.txt              pos     在有限的时间里面逃生应该是没有问题的                                                  0.56       
697     1140332052     本          93.txt              pos     看看有没有什么问题在保修范围内的需要维修的~维修顾问在检查前告诉我满两年需要换制动液和刹 0.56       
698     1140332052     款          7.txt               pos     结果被js忽悠了老p7真是粪坑里的石头又吵有硬手头米有限啊只买得起这几款                  0.55       
699     1140332052     会          1.txt               pos     速度不会太快                                                                          0.54       
700     1140332052     空调        29.txt              pos     一旦有了空调                                                                          0.54       
701     1140332052     等          17.txt              pos     问大家一些关于b50的问题我同事的b50等了两个月才提到车                                  0.54       
702     1140332052     打          40.txt              pos     但是打双闪正常                                                                        0.54       
703     1140332052     说          2.txt               pos     是稳很多人都说骐达起步肉                                                              0.53       
704     1140332052     手动        14.txt              pos     应使用“l”档或手动模式的低档                                                         0.53       
705     1140332052     时候        17.txt              neg     而且最近他说发动车的时候                                                              0.52       
706     1140332052     s           1.txt               pos     昨天去4s店试驾长城c30了                                                               0.51       
707     1140332052     可以        1.txt               pos     风燥还可以                                                                            0.5        
708     1140332052     久          1.txt               pos     也不知道是不是我试驾那台车年头久了                                                    0.5        
709     1140332052     排挡        14.txt              pos     再将排挡推入“p”档                                                                   0.5        
710     1140332052     加上        14.txt              pos     加上换挡耗费时间                                                                      0.5        
711     1140332052     路面        14.txt              neg     在泥泞或湿滑路面：避免突然起步、加速、刹车、变道、急转弯                              0.5        
712     1140332052     湿滑        14.txt              neg     在泥泞或湿滑路面：避免突然起步、加速、刹车、变道、急转弯                              0.5        
713     1140332052     专业        14.txt              pos     有专业技术人员做过这样的破坏性试验也没什么事                                          0.5        
714     1140332052     车辆        14.txt              neg     换挡出现车辆严重抖动现象                                                              0.5        
715     1140332052     电路        14.txt              neg     假如对其相关的零部件或电路进行检修或断电之后                                          0.5        
716     1140332052     初段        14.txt              pos     便不能在初段阻止车辆溜坡                                                              0.5        
717     1140332052     性能        16.txt              pos     跟据4s店人员说是性能能提高一大截了                                                    0.5        
718     1140332052     同事        17.txt              pos     问大家一些关于b50的问题我同事的b50等了两个月才提到车                                  0.5        
719     1140332052     跳          21.txt              pos     一算吓一跳吧                                                                          0.5        
720     1140332052     特价        21.txt              pos     v3菱悦现在有一款特价的车型                                                            0.5        
721     1140332052     悦          21.txt              pos     差不多1年零7个月就能买一辆v3菱悦了                                                    0.5        
722     1140332052     特别        21.txt              pos     我说的v3菱悦是一款特别的车型                                                          0.5        
723     1140332052     上网        21.txt              neg     上网去搜搜v3菱悦的口碑就知道了（我听说                                                0.5        
724     1140332052     估计        22.txt              pos     估计了一下                                                                            0.5        
725     1140332052     骏骏        22.txt              pos     加上骏骏的密闭性能                                                                    0.5        
726     1140332052     奇骏        23.txt              neg     想改音响推荐下我想改一下奇骏的音响                                                    0.5        
727     1140332052     想          25.txt              pos     可是我真的想寻找一下知音啊                                                            0.5        
728     1140332052     polo        26.txt              pos     请各位帮我看看这个价位的polo                                                          0.5        
729     1140332052     脚垫        26.txt              pos     送了8样内饰（全车带侧面真皮、gps、防爆膜、挡泥板、脚垫、坐垫、后备箱垫、下护板）      0.5        
730     1140332052     gps         26.txt              pos     送了8样内饰（全车带侧面真皮、gps、防爆膜、挡泥板、脚垫、坐垫、后备箱垫、下护板）      0.5        
731     1140332052     老婆        29.txt              pos     由于老婆喜欢a4l                                                                       0.5        
732     1140332052     照片        29.txt              neg     由于照片是用htcg7拍的                                                                 0.5        
733     1140332052     用          29.txt              pos     高架不算很堵用了定速巡航                                                              0.5        
734     1140332052     吓          31.txt              pos     真心吓一跳                                                                            0.5        
735     1140332052     手          35.txt              pos     君威变速箱问题新君威舒适版参数上是6档手自一体                                         0.5        
736     1140332052     超速        37.txt              neg     结果3个超速                                                                           0.5        
737     1140332052     安全带      37.txt              neg     一个没系安全带                                                                        0.5        
738     1140332052     大洋        37.txt              pos     一共350大洋外加11分                                                                   0.5        
739     1140332052     准备        37.txt              pos     准备收个带测速的行车记录仪                                                            0.5        
740     1140332052     起          37.txt              pos     这么下去罚不起啊                                                                      0.5        
741     1140332052     宝          37.txt              pos     逛了下某宝                                                                            0.5        
742     1140332052     哒哒哒      38.txt              pos     最近换挡老是哒哒哒的响                                                                0.5        
743     1140332052     平均        39.txt              pos     跑了19000公里平均油耗9                                                                0.5        
744     1140332052     动感        39.txt              pos     动感的外形                                                                            0.5        
745     1140332052     不小        4.txt               pos     空间不小金融直通车买车                                                                0.5        
746     1140332052     说说        42.txt              pos     说说                                                                                  0.5        
747     1140332052     锋范        43.txt              neg     5at锋范                                                                               0.5        
748     1140332052     副驾驶      44.txt              neg     今天才发现副驾驶的门有点异响了                                                        0.5        
749     1140332052     没了        46.txt              pos     所有的电源都没了                                                                      0.5        
750     1140332052     电源        46.txt              pos     所有的电源都没了                                                                      0.5        
751     1140332052     店员        5.txt               pos     就是跟店员来谈价格了                                                                  0.5        
752     1140332052     开始        5.txt               pos     又开始软硬兼施                                                                        0.5        
753     1140332052     发帖        5.txt               pos     现发帖上来                                                                            0.5        
754     1140332052     主          5.txt               neg     ps:楼主第一次买车                                                                     0.5        
755     1140332052     楼          5.txt               pos     ps:楼主第一次买车                                                                     0.5        
756     1140332052     展出        51.txt              pos     但其实没有展出                                                                        0.5        
757     1140332052     介绍        51.txt              pos     也不介绍了                                                                            0.5        
758     1140332052     后面        51.txt              pos     因为c50后面太重了                                                                     0.5        
759     1140332052     激动        51.txt              pos     想想就激动啊                                                                          0.5        
760     1140332052     松          53.txt              neg     就像链条松了的感觉                                                                    0.5        
761     1140332052     车窗        57.txt              pos     其他三个车窗没事                                                                      0.5        
762     1140332052     外面        57.txt              pos     4s跟外面能修吗                                                                        0.5        
763     1140332052     逸致        60.txt              pos     由逸致改买凯美瑞2                                                                     0.5        
764     1140332052     耀动版      60.txt              pos     0s耀动版                                                                              0.5        
765     1140332052     打滑        60.txt              neg     好像有点打滑                                                                          0.5        
766     1140332052     工时费      63.txt              pos     4s报价54（空调滤芯）+60（工时费）=114元                                               0.5        
767     1140332052     告知        63.txt              pos     并告知我是第一个路畅品牌倒车影像出问题的                                              0.5        
768     1140332052     系          66.txt              pos     海马m3裸车全系优惠3000大洋                                                            0.5        
769     1140332052     裸车        66.txt              pos     海马m3裸车全系优惠3000大洋                                                            0.5        
770     1140332052     大脚        67.txt              pos     xf换xj18寸大脚作业本人文盲一个                                                        0.5        
771     1140332052     通知        68.txt              pos     问一下纠结过指南者和翼虎的通知今天看了现车翼虎16风尚和24炫黑                          0.5        
772     1140332052     进来        70.txt              pos     帝豪ec715油耗问题懂的进来解答                                                         0.5        
773     1140332052     两厢        72.txt              pos     天语sx4两厢                                                                           0.5        
774     1140332052     消失        78.txt              neg     消失                                                                                  0.5        
775     1140332052     合算        80.txt              neg     合算吗                                                                                0.5        
776     1140332052     经典        83.txt              pos     跪求广东珠三角地区各4s经典轩逸自动舒适版价格请问各位大虾广东珠三角几个城市经典轩逸自动 0.5        
777     1140332052     查          85.txt              neg     结果到4s店一查                                                                        0.5        
778     1140332052     路          90.txt              neg     同样的路                                                                              0.5        
779     1140332052     选          91.txt              pos     关于科鲁兹颜色问题本人定了科鲁兹但颜色还没有选喜欢白色但不是金属漆但又听说是珍珠白珍珠 0.5        
780     1140332052     颜色        91.txt              pos     关于科鲁兹颜色问题本人定了科鲁兹但颜色还没有选喜欢白色但不是金属漆但又听说是珍珠白珍珠 0.5        
781     1140332052     科鲁兹      91.txt              pos     关于科鲁兹颜色问题本人定了科鲁兹但颜色还没有选喜欢白色但不是金属漆但又听说是珍珠白珍珠 0.5        
782     1140332052     吸          92.txt              pos     开空调怠速抖动空调继电器频繁吸合07年12月1                                             0.5        
783     1140332052     富康        92.txt              pos     4的富康                                                                               0.5        
784     1140332052     漏          94.txt              pos     不是哪里漏了吧                                                                        0.5        
785     1140332052     甲醛        97.txt              pos     专家解释：就室内空气中的甲醛而言                                                      0.5        
786     1140332052     型号        98.txt              pos     家具生产厂商必须提供有关生产日期、材料、性能、型号、使用、保养、主要技术参数等项目的标 0.5        
787     1140332052     档          14.txt              pos     上坡或地下停车库上坡时：应使用“l”档或手动档中的低速档                               0.49       
788     1140332052     店          16.txt              pos     跟据4s店人员说是性能能提高一大截了                                                    0.48       
789     1140332052     导航        43.txt              pos     安装了导航和后视摄像头                                                                0.47       
790     1140332052     出现        85.txt              neg     哪天再出现                                                                            0.46       
791     1140332052     下去        37.txt              pos     这么下去罚不起啊                                                                      0.44       
792     1140332052     试驾        1.txt               pos     之前也试驾过海马m3                                                                    0.43       
793     1140332052     走          14.txt              pos     但是变速箱一直有个往前走的力                                                          0.43       
794     1140332052     处理        44.txt              neg     都怎么处理的呀                                                                        0.43       
795     1140332052     遇到        47.txt              neg     看了zzy77留言说“我今天也遇到了踩死刹不住的情况                                       0.43       
796     1140332052     订          55.txt              pos     69手动风尚不送平板本来想买两台车的结果是真没心情买了果断擦肩88最后订了两辆瑞纳        0.43       
797     1140332052     行驶        60.txt              pos     行驶过程中                                                                            0.43       
798     1140332052     装          36.txt              pos     不装的东西估计不给折现吧····                                                          0.4        
799     1140332052     安装        43.txt              neg     安装了导航和后视摄像头                                                                0.4        
800     1140332052     来          5.txt               pos     经理一来                                                                              0.4        
801     1140332052     原          5.txt               pos     最后磨到了如下价格：包牌包保险：18万送的东西如下：原厂雷朋防爆膜                      0.4        
802     1140332052     检查        93.txt              pos     没想到检查了一个小时后告知我四个刹车片都要换了                                        0.4        
803     1140332052     帖          29.txt              pos     [本帖最后由zlcdjq于2013-06-3022:55:09编辑]                                            0.38       
804     1140332052     后          58.txt              pos     宝来右后轮有异响                                                                      0.38       
805     1140332052     优势        1.txt               pos     每款车都有各自的优势                                                                  0.33       
806     1140332052     km          11.txt              pos     还是喜欢408可是每天往返40km                                                           0.33       
807     1140332052     响了        13.txt              neg     油门一放开就不响了                                                                    0.33       
808     1140332052     点火        14.txt              pos     再点火                                                                                0.33       
809     1140332052     斜坡        14.txt              pos     如果在斜坡起步                                                                        0.33       
810     1140332052     脚          18.txt              pos     小凯踩油门时脚有轻微震动感                                                            0.33       
811     1140332052     设计        20.txt              pos     设计了一个属于青海逍客车友的车标                                                      0.33       
812     1140332052     耳          21.txt              pos     两耳不闻打车事                                                                        0.33       
813     1140332052     菱          21.txt              pos     一心只买v3菱悦车对比起打车的价格                                                      0.33       
814     1140332052     车型        21.txt              neg     v3菱悦现在有一款特价的车型                                                            0.33       
815     1140332052     话          21.txt              pos     这句话一点儿都没错吧                                                                  0.33       
816     1140332052     罚          37.txt              pos     没系安全带罚50扣2分                                                                   0.33       
817     1140332052     小时        39.txt              pos     整个过程一个半小时                                                                    0.33       
818     1140332052     过程        39.txt              pos     整个过程一个半小时                                                                    0.33       
819     1140332052     小区        45.txt              neg     开回小区地下车库停好                                                                  0.33       
820     1140332052     家人        5.txt               pos     同去的家人                                                                            0.33       
821     1140332052     如下        5.txt               neg     最后磨到了如下价格：包牌包保险：18万送的东西如下：原厂雷朋防爆膜                      0.33       
822     1140332052     买车        5.txt               pos     ps:楼主第一次买车                                                                     0.33       
823     1140332052     懂          53.txt              neg     技师也不懂是什么问题                                                                  0.33       
824     1140332052     右          58.txt              pos     宝来右后轮有异响                                                                      0.33       
825     1140332052     开了        78.txt              neg     有几次开了半小时候能搜到卫星了                                                        0.33       
826     1140332052     装甲        81.txt              neg     最低配自动挡的价格优惠18000+3000节能补贴~~~全办下来112000（送底盘装甲、发动机护甲、封釉 0.33       
827     1140332052     功能        82.txt              neg     骑骏有这个功能吗                                                                      0.33       
828     1140332052     抖动        92.txt              pos     转速表在900转到一千五百转之间上下抖动                                                 0.33       
829     1140332052     改          92.txt              pos     我改了甲醇了                                                                          0.33       
830     1140332052     材质        97.txt              pos     家具存在问题：订购合同上对材质没有明确                                                0.33       
831     1140332052     门          44.txt              pos     今天才发现副驾驶的门有点异响了                                                        0.29       
832     1140332052     响          45.txt              neg     仪表“嗒嗒”的响                                                                      0.27       
833     1140332052     变速杆      14.txt              pos     不要将变速杆拉到“n”档                                                               0.25       
834     1140332052     异          17.txt              neg     机器听着也有异响                                                                      0.25       
835     1140332052     打车        21.txt              neg     两耳不闻打车事                                                                        0.25       
836     1140332052     经理        5.txt               pos     店员回答车被经理开出去开会了                                                          0.25       
837     1140332052     洗车        41.txt              neg     尼玛雅阁油漆也太软了吧今天第二次洗车洗完车车身细微划痕不得了啊我以前polo车的油漆也比雅 0.2        
838     1140332052     音响        46.txt              pos     音响的音量特大                                                                        0.2        
839     1140332052     帕萨特      12.txt              pos     8t帕萨特领驭最近提速变慢了                                                            0.17       
840     1140332052     挂          38.txt              neg     感觉挡没挂进去似的                                                                    0.17       
841     1140332052     滤芯        87.txt              neg     34元空气滤芯84                                                                        0.17       
842     1140332052     新车        3.txt               pos     好多新车                                                                              0.14       
843     1140332052     编辑        29.txt              neg     [本帖最后由zlcdjq于2013-06-3022:55:09编辑]                                            0.12       
844     1140332052     总结        1.txt               neu     总结一下个人感受吧：坐在驾驶位往前看                                                  0          
845     1140332052     年头        1.txt               neu     也不知道是不是我试驾那台车年头久了                                                    0          
846     1140332052     组装机      100.txt             neu     计算机存在问题：组装机的质量问题占了很大比例                                          0          
847     1140332052     CDROM       100.txt             neu     内存条、CDROM）发生故障后商家不履行三包规定                                           0          
848     1140332052     凭证        100.txt             neu     消费者维权也就有了凭证                                                                0          
849     1140332052     成          11.txt              neu     小8的油耗成了我的最大纠结网上说多少的都有                                             0          
850     1140332052     小妹        11.txt              neu     还有目前北京的价格是多少小妹我人在天津                                                0          
851     1140332052     变慢        12.txt              neu     8t帕萨特领驭最近提速变慢了                                                            0          
852     1140332052     慢了        12.txt              neu     速度响应也慢了                                                                        0          
853     1140332052     哗啦啦      13.txt              neu     响声是“哗啦啦                                                                        0          
854     1140332052     放开        13.txt              neu     油门一放开就不响了                                                                    0          
855     1140332052     档位        14.txt              neu     踩住刹车把档位拉到“n”档                                                             0          
856     1140332052     有利于      14.txt              neu     据说这样有利于cvt变速箱                                                               0          
857     1140332052     单向        14.txt              neu     因为变速箱内扭力转换器有一组单向离合器的反应轮                                        0          
858     1140332052     空挡        14.txt              neu     不得空挡滑行：行驶过程中                                                              0          
859     1140332052     拨          14.txt              neu     行驶过程中档位可以直接拨到“l”档时                                                   0          
860     1140332052     中档        14.txt              neu     行驶过程中档位可以直接拨到“l”档时                                                   0          
861     1140332052     泥泞        14.txt              neu     在泥泞或湿滑路面：避免突然起步、加速、刹车、变道、急转弯                              0          
862     1140332052     力量        14.txt              neu     只是这个力量没有你刹车的力量大                                                        0          
863     1140332052     毛病么      16.txt              neu     问问大伙都有这毛病么                                                                  0          
864     1140332052     尊贵        17.txt              neu     是手动尊贵版                                                                          0          
865     1140332052     轻微        18.txt              neu     小凯踩油门时脚有轻微震动感                                                            0          
866     1140332052     怎么回事    18.txt              neu     怎么回事                                                                              0          
867     1140332052     车标        20.txt              neu     为我们的新车标提点建议吧看着你们独有自己的车标                                        0          
868     1140332052     动心        20.txt              neu     我也动心了啊                                                                          0          
869     1140332052     对了        20.txt              neu     请大家提提建议吧这是设计的第一个备选车标这是设计的第二个备选车标对了                  0          
870     1140332052     一样        20.txt              neu     和第一个一样有编号的                                                                  0          
871     1140332052     =           21.txt              neu     v3菱悦的用车成本会便宜小一百块钱（125-40=85元）                                       0          
872     1140332052     数字        21.txt              neu     这个数字是：31025                                                                     0          
873     1140332052     怎么样      21.txt              neu     怎么样                                                                                0          
874     1140332052     保固期      21.txt              neu     买v3菱悦的时候可以挑选3年或10万公里的保固期                                           0          
875     1140332052     洪水        22.txt              neu     如果遇到去年京城那样的洪水                                                            0          
876     1140332052     那样        22.txt              neu     如果遇到去年京城那样的洪水                                                            0          
877     1140332052     密闭        22.txt              neu     加上骏骏的密闭性能                                                                    0          
878     1140332052     有限        22.txt              neu     在有限的时间里面逃生应该是没有问题的                                                  0          
879     1140332052     算得        22.txt              neu     而且这么大的天窗在同级车中绝对算得上极品                                              0          
880     1140332052     ）          29.txt              neu     本人屌丝一枚（纯的不能再纯的那种）                                                    0          
881     1140332052     水果机      29.txt              neu     连水果机都比不上                                                                      0          
882     1140332052     一会儿      29.txt              neu     所以稍稍停了一会儿的发动机                                                            0          
883     1140332052     达达        30.txt              neu     1挡坡道起步时也有点达达的异响声                                                       0          
884     1140332052     力哈        30.txt              neu     给力哈                                                                                0          
885     1140332052     一体        35.txt              neu     君威变速箱问题新君威舒适版参数上是6档手自一体                                         0          
886     1140332052     扣          37.txt              neu     三个超速一个罚100扣3分                                                                0          
887     1140332052     受不了      37.txt              neu     受不了了                                                                              0          
888     1140332052     进取        38.txt              neu     英朗gt进取手动1                                                                       0          
889     1140332052     英朗        38.txt              neu     英朗gt进取手动1                                                                       0          
890     1140332052     习惯        39.txt              neu     习惯了也就好了                                                                        0          
891     1140332052     不多        4.txt               neu     首付不多                                                                              0          
892     1140332052     首付        4.txt               neu     首付不多                                                                              0          
893     1140332052     累死        4.txt               neu     往车里搬得时候给我差点累死                                                            0          
894     1140332052     车上        4.txt               neu     不过往车上装的时候倒是真够给力的                                                      0          
895     1140332052     汽配城      43.txt              neu     到汽配城安装的                                                                        0          
896     1140332052     保时        44.txt              neu     准备首保时找4s处理                                                                    0          
897     1140332052     山路        45.txt              neu     今天跑了两百公里山路                                                                  0          
898     1140332052     颠簸        45.txt              neu     非常颠簸                                                                              0          
899     1140332052     饭          45.txt              neu     回到小区附近吃个饭                                                                    0          
900     1140332052     着火        45.txt              neu     上车就打不着火了                                                                      0          
901     1140332052     纳闷        45.txt              neu     我很纳闷                                                                              0          
902     1140332052     解锁        46.txt              neu     遥控要是无法解锁                                                                      0          
903     1140332052     重置        46.txt              neu     启动后行车电脑的设置全部都重置了                                                      0          
904     1140332052     设置        46.txt              neu     启动后行车电脑的设置全部都重置了                                                      0          
905     1140332052     一般        49.txt              neu     求版主认证侧面霸气侧漏哈哈15寸的小脚还行吧侧看很霸气正面菊花很一般侧面看着流线不错    0          
906     1140332052     大鹏        49.txt              neu     长城做的算是不错的了硬塑料无力吐槽储物盒档杆看着还挺有档次的后排空间不错啊4s送的贴膜质 0          
907     1140332052     兴冲冲      5.txt               neu     等我下午兴冲冲地跑到4s店                                                              0          
908     1140332052     开会        5.txt               neu     店员回答车被经理开出去开会了                                                          0          
909     1140332052     该车        5.txt               neu     就试驾了该车                                                                          0          
910     1140332052     同去        5.txt               neu     同去的家人                                                                            0          
911     1140332052     大气        5.txt               neu     觉得c5比较大气                                                                        0          
912     1140332052     b级         5.txt               neu     但又考虑家里没有辆b级车                                                               0          
913     1140332052     开迪        5.txt               neu     老是要开以前的开迪车（这个车估计很少人知道了吧）                                      0          
914     1140332052     砍          5.txt               neu     砍了两个小时                                                                          0          
915     1140332052     砍到        5.txt               neu     砍到了19万                                                                            0          
916     1140332052     头          5.txt               neu     头枕                                                                                  0          
917     1140332052     礼拜        5.txt               neu     本来4s店说一个礼拜之内可以提车                                                        0          
918     1140332052     想到        5.txt               neu     没想到                                                                                0          
919     1140332052     理由        51.txt              neu     会给出很多理由                                                                        0          
920     1140332052     车友们      51.txt              neu     还有关于车展想问的车友们都可以探讨                                                    0          
921     1140332052     颤动        52.txt              neu     座椅都颤动                                                                            0          
922     1140332052     抖了        52.txt              neu     转速保持在1000就不抖了                                                                0          
923     1140332052     压缩机      52.txt              neu     是压缩机有问题                                                                        0          
924     1140332052     链条        53.txt              neu     就像链条松了的感觉                                                                    0          
925     1140332052     吃饭        55.txt              neu     山东滨州无棣4s价格高态度差还不送平板看了半个月的polo去买的时候4s店的销售人员跟没吃饭没 0          
926     1140332052     车主们      57.txt              neu     新桑的车主们你们的玻璃晃荡吗                                                          0          
927     1140332052     新桑        57.txt              neu     新桑的车主们你们的玻璃晃荡吗                                                          0          
928     1140332052     故障        61.txt              neu     不知道是不是故障                                                                      0          
929     1140332052     失效        63.txt              neu     中控面板中间按键全部失效                                                              0          
930     1140332052     报价        63.txt              neu     4s报价54（空调滤芯）+60（工时费）=114元                                               0          
931     1140332052     聊天        63.txt              neu     当时跟4s店的聊天时得知                                                                0          
932     1140332052     品牌        63.txt              neu     以前嘉年华赠的倒车影像是另一个品牌的                                                  0          
933     1140332052     客户        63.txt              neu     因为客户老是反应出问题                                                                0          
934     1140332052     n久         64.txt              neu     泡了n久的论坛                                                                         0          
935     1140332052     泡          64.txt              neu     泡了n久的论坛                                                                         0          
936     1140332052     儿子        64.txt              neu     坑爹的4儿子维修装修基金                                                               0          
937     1140332052     忍          64.txt              neu     还只有6个月的有效期……忍了吧                                                         0          
938     1140332052     有效期      64.txt              neu     还只有6个月的有效期……忍了吧                                                         0          
939     1140332052     要等        64.txt              neu     4儿子说提车起码要等1                                                                  0          
940     1140332052     鸟          64.txt              neu     受不鸟啊                                                                              0          
941     1140332052     受          64.txt              neu     受不鸟啊                                                                              0          
942     1140332052     唯一        65.txt              neu     唯一的感觉觉得空调制冷不够好                                                          0          
943     1140332052     忙          66.txt              neu     4s貌似很忙                                                                            0          
944     1140332052     招待        66.txt              neu     销售也没怎么招待                                                                      0          
945     1140332052     xf          67.txt              neu     xf换xj18寸大脚作业本人文盲一个                                                        0          
946     1140332052     兴趣        67.txt              neu     我立刻来了兴趣                                                                        0          
947     1140332052     aaaacn      69.txt              neu     东风的要好的多了关键是和悦rs有生锈的我靠内饰[本帖最后由aaaacn于2013-06-3023:10:38编辑] 0          
948     1140332052     吵          7.txt               neu     结果被js忽悠了老p7真是粪坑里的石头又吵有硬手头米有限啊只买得起这几款                  0          
949     1140332052     石头        7.txt               neu     结果被js忽悠了老p7真是粪坑里的石头又吵有硬手头米有限啊只买得起这几款                  0          
950     1140332052     忽悠        7.txt               neu     结果被js忽悠了老p7真是粪坑里的石头又吵有硬手头米有限啊只买得起这几款                  0          
951     1140332052     js          7.txt               neu     结果被js忽悠了老p7真是粪坑里的石头又吵有硬手头米有限啊只买得起这几款                  0          
952     1140332052     主意        7.txt               neu     想换舒适静音请用过或者有经验的朋友们给我出点主意                                      0          
953     1140332052     降低        70.txt              neu     油表公里数直接降低3公里                                                               0          
954     1140332052     邮箱        70.txt              neu     就是有一次邮箱跳帧                                                                    0          
955     1140332052     卡          70.txt              neu     给卡主了以后出现的情况                                                                0          
956     1140332052     雨燕        73.txt              neu     急急急急急急我的雨燕1                                                                 0          
957     1140332052     急急        73.txt              neu     急急急急急急我的雨燕1                                                                 0          
958     1140332052     家          74.txt              neu     我拿出汽车之家发过来说有2000元改装的礼品送的信息                                      0          
959     1140332052     礼品        74.txt              neu     我们这个价格里面已经减去了这礼品的2000元                                              0          
960     1140332052     减去        74.txt              neu     我们这个价格里面已经减去了这礼品的2000元                                              0          
961     1140332052     手续费      74.txt              neu     另外贷款的手续费3000元                                                                0          
962     1140332052     suv         75.txt              neu     顺便看了马自达的suv                                                                   0          
963     1140332052     马自达      75.txt              neu     顺便看了马自达的suv                                                                   0          
964     1140332052     呵护        76.txt              neu     呵护的比老婆还好                                                                      0          
965     1140332052     怎么办      76.txt              neu     怎么办                                                                                0          
966     1140332052     无牌        81.txt              neu     [本帖最后由无牌购车于2013-07-0100:00:19编辑]                                          0          
967     1140332052     小孩        82.txt              neu     因为小孩坐后面                                                                        0          
968     1140332052     露天        85.txt              neu     大部分都是小区露天车位                                                                0          
969     1140332052     叶子        85.txt              neu     就不知道这个叶子是怎么进去的                                                          0          
970     1140332052     堪          86.txt              neu     进口旅行版昊锐的大脚让国产昊锐情何以堪啊                                              0          
971     1140332052     国产        86.txt              neu     进口旅行版昊锐的大脚让国产昊锐情何以堪啊                                              0          
